,yshort_name,igribtable,igribparam,irank,yunits,ystandard_name,ylong_name,yfamily,ylsm,lderived,loutput,lrequired,lnested,lcompress,ldryin
#,,,,,,,,,,,,,,,,,,,,,
,CO2_BG,243,101,3,kg kg-1,CO2_mass_fraction_at_lateral_boundary,CO2_mass_fraction_at_lateral_boundary,t, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.,.TRUE.
,C14_BG,243,102,3,kg kg-1,14CO2_at_lateral_boundary,14CO2_at_lateral_boundary,t, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.,.TRUE.
,CO_BG,243,103,3,kg kg-1,CO_mass_fraction_at_lateral_boundary,CO_mass_fraction_at_lateral_boundary,t, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.,.TRUE.
#,OH_FIELD,243,104,3,molecules cm-3,Monthly_OH_field,Monthly_OH_field,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.,.TRUE.,.FALSE.
#,,,,,,,,,,,,,,,,,,,,,
,CO2_FF1_E,243,123,3,kg m-2 s-1,CO2_flux_from_fossil_fuel_emissions,CO2_flux_from_fossil_fuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_FF2_E,243,124,3,kg m-2 s-1,CO2_flux_from_fossil_fuel_emissions,CO2_flux_from_fossil_fuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_FF3_E,243,125,3,kg m-2 s-1,CO2_flux_from_fossil_fuel_emissions,CO2_flux_from_fossil_fuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_FF4_E,243,126,3,kg m-2 s-1,CO2_flux_from_fossil_fuel_emissions,CO2_flux_from_fossil_fuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_FF5_E,243,127,3,kg m-2 s-1,CO2_flux_from_fossil_fuel_emissions,CO2_flux_from_fossil_fuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_FF6_E,243,128,3,kg m-2 s-1,CO2_flux_from_fossil_fuel_emissions,CO2_flux_from_fossil_fuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_BF1_E,243,129,3,kg m-2 s-1,CO2_flux_from_biofuel_emissions,CO2_flux_from_biofuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_BF2_E,243,130,3,kg m-2 s-1,CO2_flux_from_biofuel_emissions,CO2_flux_from_biofuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_BF3_E,243,131,3,kg m-2 s-1,CO2_flux_from_biofuel_emissions,CO2_flux_from_biofuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_BF4_E,243,132,3,kg m-2 s-1,CO2_flux_from_biofuel_emissions,CO2_flux_from_biofuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_BF5_E,243,133,3,kg m-2 s-1,CO2_flux_from_biofuel_emissions,CO2_flux_from_biofuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_BF6_E,243,134,3,kg m-2 s-1,CO2_flux_from_biofuel_emissions,CO2_flux_from_biofuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_NC1_E,243,201,3,kg m-2 s-1,CO2_flux_from_non_combustion_emissions,CO2_flux_from_biofuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_NC2_E,243,202,3,kg m-2 s-1,CO2_flux_from_non_combustion_emissions,CO2_flux_from_biofuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_NC3_E,243,203,3,kg m-2 s-1,CO2_flux_from_non_combustion_emissions,CO2_flux_from_biofuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_NC4_E,243,204,3,kg m-2 s-1,CO2_flux_from_non_combustion_emissions,CO2_flux_from_biofuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_NC5_E,243,205,3,kg m-2 s-1,CO2_flux_from_non_combustion_emissions,CO2_flux_from_biofuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO2_NC6_E,243,206,3,kg m-2 s-1,CO2_flux_from_non_combustion_emissions,CO2_flux_from_biofuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO_FF1_E,243,141,3,kg m-2 s-1,CO_flux_from_fossil_fuel_emissions,CO_flux_from_fossil_fuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO_FF2_E,243,142,3,kg m-2 s-1,CO_flux_from_fossil_fuel_emissions,CO_flux_from_fossil_fuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
,CO_FF3_E,243,143,3,kg m-2 s-1,CO_flux_from_fossil_fuel_emissions,CO_flux_from_fossil_fuel_emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.
